age,income,loan_amount,credit_score,employment_years,previous_defaults,debt_to_income_ratio,loan_status
48,138533,12394,697,15,4,0.75,1
37,101412,19056,437,22,0,0.47,1
25,70948,33380,686,2,3,0.28,1
51,93781,31035,410,20,1,0.14,1
25,92750,35620,316,25,2,0.61,1
58,86262,24877,481,3,2,0.18,1
23,137424,48404,835,9,0,0.31,0
43,66600,35911,840,4,1,0.47,0
57,96898,37784,470,20,1,0.5,1
57,82483,8191,708,21,0,0.52,1
30,38297,38160,677,29,1,0.22,0
30,50448,30000,487,9,3,0.37,1
39,46172,44040,529,11,0,0.53,1
37,62874,8631,418,9,3,0.78,1
41,27657,11172,455,28,1,0.61,1
34,104386,47080,764,12,0,0.75,1
29,145617,28561,403,10,1,0.63,1
21,45425,29817,801,21,0,0.51,1
33,46685,25281,474,15,1,0.23,1
24,142000,33671,720,7,3,0.57,1
21,132855,30364,433,7,3,0.54,1
60,44578,46674,690,26,1,0.52,1
52,48831,32425,800,24,0,0.44,0
54,27906,33602,332,7,2,0.47,1
48,81413,28253,354,12,3,0.33,1
51,74028,28472,818,26,3,0.46,1
28,27287,13080,311,1,2,0.24,1
59,53660,12099,827,29,1,0.66,1
46,95758,30431,672,29,0,0.23,0
54,80504,36186,783,11,1,0.16,0
23,79720,35111,527,9,4,0.41,1
32,122979,44851,606,11,3,0.56,1
21,54701,27614,756,10,4,0.41,1
64,103300,31724,459,14,3,0.29,1
25,130177,46991,630,15,3,0.49,1
50,37674,9940,524,16,4,0.34,1
50,103560,33758,803,25,4,0.75,1
37,131543,41224,755,1,1,0.75,1
43,43874,12788,344,17,4,0.45,1
35,63642,33082,513,11,1,0.33,1
57,143867,29034,358,18,1,0.62,1
41,117820,40479,494,25,1,0.13,1
34,85160,16280,788,22,3,0.43,1
22,37602,23052,456,17,3,0.34,1
31,123320,21531,525,29,4,0.74,1
59,108801,27804,711,16,3,0.11,1
58,45931,33903,504,29,4,0.49,1
54,114377,49857,378,5,3,0.62,1
58,49192,15142,423,24,0,0.44,1
54,66542,14866,770,14,0,0.16,0
38,147015,9531,517,2,4,0.78,1
50,62520,43098,815,5,3,0.46,1
35,84772,43278,403,2,3,0.53,1
47,78762,33138,692,29,1,0.27,0
54,70106,32065,733,28,2,0.44,1
58,101121,34956,630,0,4,0.4,1
53,45559,46732,442,29,2,0.15,1
44,125595,44261,839,12,2,0.17,1
35,53742,15759,577,27,4,0.69,1
50,89669,10439,532,20,3,0.27,1
62,100199,47533,828,25,4,0.24,1
37,41754,33270,389,13,2,0.45,1
25,23972,18279,791,12,3,0.64,1
49,90831,44279,498,26,0,0.14,1
24,132217,49251,661,3,4,0.5,1
30,61873,28888,740,6,4,0.18,1
37,114661,22630,325,21,3,0.13,1
30,126532,40144,324,9,0,0.14,1
37,146267,36182,693,6,0,0.68,1
40,29903,30538,806,20,3,0.18,1
44,23020,16824,600,14,1,0.13,0
25,61755,37125,638,14,4,0.41,1
54,105956,11979,566,3,4,0.69,1
26,106988,31189,760,22,2,0.28,1
22,65648,47600,755,22,3,0.4,1
33,123537,17504,659,5,2,0.13,1
63,145991,25669,367,23,2,0.41,1
63,29516,11910,711,19,0,0.5,0
31,132863,39964,790,25,4,0.5,1
43,135005,25131,348,4,2,0.33,1
36,22396,30227,401,19,0,0.32,1
51,104082,10978,515,11,3,0.17,1
31,39129,26991,737,0,2,0.36,1
36,148322,22153,458,27,4,0.17,1
28,21591,38548,788,7,2,0.64,1
24,31303,47676,541,0,3,0.78,1
60,50561,44071,304,4,2,0.78,1
24,91719,8983,660,21,4,0.71,1
45,138618,14503,758,5,0,0.52,1
23,112108,34921,547,28,4,0.59,1
52,148748,21905,721,20,0,0.3,0
23,119616,28953,314,2,1,0.54,1
47,144165,31806,421,14,4,0.42,1
49,106231,27168,576,4,4,0.44,1
52,27314,9583,752,27,3,0.63,1
39,137071,43714,689,23,2,0.3,1
41,39623,44896,593,13,0,0.32,1
25,87675,16889,745,17,0,0.75,1
38,132992,32413,509,15,3,0.14,1
48,116826,17275,601,5,3,0.44,1
62,85082,7461,522,24,2,0.74,1
42,149839,19291,302,23,2,0.53,1
41,103624,16435,817,13,4,0.48,1
26,125228,32935,392,26,1,0.27,1
21,53130,38453,819,23,2,0.34,1
25,71756,23544,727,7,3,0.7,1
61,117624,17258,792,28,2,0.49,1
32,46292,35841,534,6,0,0.46,1
46,131785,15736,460,7,1,0.17,1
54,147331,42643,630,12,4,0.11,1
34,106206,48950,632,5,0,0.77,1
46,89274,39964,349,17,0,0.36,1
47,22469,33044,822,1,1,0.52,1
29,73947,44933,791,7,4,0.16,1
46,42534,20997,571,10,3,0.58,1
42,83620,19215,551,0,4,0.75,1
50,68874,38069,389,21,2,0.5,1
63,69708,28911,745,28,0,0.19,0
37,94553,22030,631,5,2,0.51,1
46,88344,34334,438,15,3,0.64,1
56,69138,19571,656,26,2,0.38,1
21,74302,47719,573,19,4,0.72,1
28,67638,33927,318,11,2,0.55,1
55,98249,25714,610,10,3,0.73,1
35,125865,48541,453,28,3,0.54,1
42,22719,28387,689,26,3,0.19,1
34,42890,33444,559,28,4,0.32,1
46,97236,24921,424,9,3,0.24,1
48,56509,18057,653,2,0,0.74,1
43,62534,29858,572,12,3,0.63,1
34,122302,49638,544,26,2,0.57,1
44,112241,31062,749,2,2,0.31,1
22,38787,41850,546,14,2,0.23,1
46,146209,25567,819,15,4,0.63,1
34,68845,34739,440,28,2,0.43,1
27,77932,48285,661,12,4,0.26,1
23,112124,8754,307,16,4,0.53,1
43,111659,32044,777,2,3,0.13,1
63,53062,6724,651,19,0,0.33,0
38,95713,6376,794,10,3,0.43,1
58,107263,13706,726,26,3,0.2,1
55,115756,13894,338,20,4,0.79,1
35,80461,23037,486,18,4,0.25,1
45,95418,23450,392,21,2,0.19,1
57,86672,21406,385,10,2,0.24,1
48,148232,34725,343,29,3,0.64,1
30,54832,10926,436,27,1,0.4,1
59,147335,44019,720,15,1,0.5,0
37,51966,14496,373,20,2,0.11,1
59,92545,41068,847,2,1,0.12,0
42,32987,34806,811,21,2,0.41,1
46,57311,27663,455,5,4,0.67,1
64,51575,46321,554,13,3,0.72,1
45,83852,41495,470,23,0,0.16,1
37,147650,27656,469,17,3,0.48,1
33,21007,30860,621,16,2,0.74,1
40,90981,21832,755,3,2,0.37,1
45,96242,43787,454,22,3,0.68,1
24,67517,26727,648,14,2,0.19,1
30,130022,47815,750,10,1,0.75,1
23,49257,34545,472,25,1,0.63,1
61,107272,49522,309,2,2,0.76,1
38,62207,7520,564,2,2,0.57,1
56,33281,8081,737,15,1,0.35,0
42,81246,39196,546,4,2,0.76,1
54,21435,41735,845,20,2,0.29,1
28,118875,44213,798,28,3,0.33,1
60,120686,19566,428,9,0,0.59,1
64,111357,19042,626,18,1,0.64,1
39,46660,30498,703,24,3,0.75,1
62,25084,16329,658,3,0,0.24,0
61,102197,36656,316,28,2,0.66,1
57,33507,7159,573,28,2,0.62,1
26,92595,42900,415,18,3,0.14,1
46,103807,24363,390,10,2,0.37,1
54,65539,48241,381,1,4,0.3,1
26,135953,24033,623,9,3,0.31,1
57,27491,15805,413,28,0,0.79,1
53,147706,40851,357,10,3,0.55,1
42,132831,31832,453,24,1,0.6,1
41,70192,18944,703,19,3,0.78,1
26,100395,24873,565,15,2,0.36,1
26,143797,45372,614,18,2,0.66,1
24,83888,28928,340,22,4,0.4,1
50,93609,20379,404,23,4,0.71,1
31,29077,41751,492,10,4,0.23,1
50,137440,39546,700,13,0,0.76,1
51,142901,29286,577,1,4,0.25,1
44,40953,10110,653,22,0,0.33,0
29,96919,17087,555,27,4,0.63,1
23,134682,28762,398,4,0,0.38,1
51,141041,22081,581,26,3,0.53,1
60,87889,39947,702,4,3,0.41,1
57,43821,14596,408,18,2,0.62,1
56,57567,43019,498,20,0,0.26,1
44,135374,47003,602,11,1,0.14,0
51,44860,23313,626,17,2,0.31,1
26,41195,6013,453,3,3,0.43,1
22,97475,28705,704,21,0,0.22,0
40,110874,6828,761,16,4,0.35,1
48,107266,12909,431,9,1,0.38,1
31,41427,43356,383,19,3,0.14,1
24,120732,18109,698,5,2,0.51,1
35,47083,7023,408,24,0,0.72,1
26,107046,19537,520,13,1,0.21,1
50,77372,31661,667,10,0,0.52,1
58,143786,43659,446,10,4,0.57,1
22,64064,38848,411,28,2,0.39,1
35,27813,42804,793,17,0,0.59,1
31,51598,20379,804,26,3,0.39,1
28,132718,32766,774,22,2,0.45,1
46,146879,48590,570,21,3,0.11,1
64,113106,7563,720,17,0,0.58,1
25,47082,41060,666,23,2,0.56,1
26,49241,34197,579,22,3,0.13,1
46,116214,8586,582,10,4,0.36,1
24,64569,21087,339,20,4,0.79,1
39,31745,28225,488,11,0,0.39,1
40,46029,34750,463,4,2,0.45,1
53,33025,11643,835,22,1,0.74,1
40,121660,32523,835,8,2,0.6,1
32,143395,41727,303,26,4,0.51,1
21,34288,16005,589,24,3,0.66,1
46,109186,48543,732,8,1,0.71,1
34,26540,5161,770,21,0,0.42,0
58,117768,21029,480,9,1,0.43,1
57,101958,19226,547,21,0,0.37,1
31,88878,33731,578,18,1,0.78,1
56,61846,48922,553,0,0,0.59,1
33,121148,49848,480,6,0,0.16,1
63,95932,8390,808,3,1,0.7,1
23,37482,10997,625,0,1,0.44,0
53,43411,17693,656,14,0,0.15,0
26,70975,47092,690,7,4,0.48,1
30,80545,5541,384,11,1,0.39,1
25,132302,26817,616,21,2,0.71,1
43,98797,42861,511,21,3,0.24,1
30,72307,18428,814,17,0,0.68,1
64,23093,48934,683,14,0,0.49,0
22,97258,15258,641,16,3,0.14,1
33,42042,21044,337,28,4,0.78,1
60,72930,34411,810,13,3,0.46,1
22,137584,10469,719,13,1,0.3,0
40,64413,33854,468,17,3,0.43,1
21,133387,11256,642,19,0,0.7,1
57,113623,15720,605,17,3,0.31,1
29,117883,38937,841,15,2,0.23,1
37,53756,38598,836,0,1,0.19,0
29,73268,6651,411,22,3,0.31,1
31,59214,24194,710,26,0,0.65,1
35,101871,30051,505,10,1,0.43,1
44,147844,32386,484,14,0,0.26,1
58,48602,14518,681,11,4,0.22,1
55,73331,21184,795,7,2,0.33,1
50,68901,38787,678,21,4,0.76,1
51,119986,26621,346,19,2,0.34,1
25,83416,15028,827,29,3,0.79,1
64,52196,17448,803,5,1,0.44,0
34,148386,39051,321,2,3,0.23,1
31,25626,35447,512,27,2,0.72,1
29,27424,23394,609,23,2,0.42,1
54,32857,39501,571,25,2,0.6,1
32,130459,35254,501,29,0,0.79,1
55,135621,23509,331,12,1,0.14,1
55,39982,19472,742,12,3,0.17,1
21,96961,8471,461,1,3,0.6,1
60,21980,46796,553,4,4,0.3,1
42,68290,35268,820,16,2,0.23,1
49,46431,13329,779,5,2,0.13,1
28,104976,39865,309,1,2,0.12,1
31,127288,33272,804,3,3,0.64,1
61,102711,47845,735,21,4,0.19,1
57,134187,11397,410,25,0,0.43,1
34,46385,37373,452,10,1,0.52,1
50,58158,40525,401,7,0,0.4,1
55,43019,29570,490,11,3,0.12,1
41,38639,23284,380,7,2,0.65,1
57,105530,23994,788,10,1,0.11,0
25,119911,28284,387,21,3,0.63,1
39,41563,22833,493,19,3,0.73,1
34,59341,30122,403,7,3,0.4,1
46,135672,10017,395,28,1,0.47,1
24,25776,21370,722,7,1,0.43,0
45,56444,34252,497,25,4,0.37,1
62,88916,12999,300,29,4,0.72,1
45,28711,27436,706,16,0,0.73,1
38,94318,47963,677,19,1,0.34,0
60,102970,7096,466,19,1,0.53,1
28,132301,30279,808,22,1,0.75,1
59,105553,48363,612,15,4,0.77,1
60,50707,31201,717,13,3,0.46,1
34,59110,24715,776,29,2,0.42,1
52,149410,34309,372,10,4,0.3,1
58,81788,20078,440,6,1,0.77,1
53,102879,10105,561,15,4,0.2,1
43,58827,34312,639,12,0,0.51,1
35,127188,7839,607,26,1,0.3,0
53,25655,8384,544,14,0,0.3,1
45,64859,48619,814,23,1,0.38,0
37,73625,47821,636,15,4,0.8,1
53,72098,18493,375,26,3,0.14,1
22,35251,22069,474,20,2,0.5,1
34,142413,12531,408,22,0,0.16,1
60,20526,42051,482,23,4,0.21,1
60,88760,12736,491,8,3,0.41,1
